,Input,Output,Result
1106,Pemerintah menetapkan daftar proyek strategis nasional yang bakal direalisasikan menjadi sâ?¦,pemerintah menetapkan daftar proyek strategis nasional direalisasikan sa,neutral
1107,Saya yakin pemerintahan Gus Ipul dan Puti ke depan akan memperkuat program Nawacita Presiden Jokowi di Jawa Timur. Salam 2 jari #GusIpulPutiSantun,pemerintahan gus ipul puti memperkuat program nawacita presiden jokowi jawa timur salam 2 jari gus ipul puti santun,neutral
1108,USER Mari ngewe',mari,negative
1109,"USER Aaaamiiiiiiinnnn....\nMudah-mudahan ga ada yang geblek trus riya' posting gaji 13/14 di timeline.""",aaaamiiiiiiinnnn mudah mudahan riya posting gaji 13 14 lini,positive
1110,"USER USER saya dengar kalau Laut Banda tertutup untuk peneliti asing. Tapi bagaimana regulasinya, jika penelitian di Laut Banda leader nya adalah peneliti Indonesia dan menggunakan kapal riset Indonesia, tapi menyertakan peneliti asing?'",dengar laut banda tertutup peneliti regulasinya penelitian laut banda leader nya peneliti indonesia kapal riset indonesia menyertakan peneliti,neutral
1111,"USER USER key-point : cebong dungu, IQ sekolam, ngeyel ujung2nya balik ke kolam, pokoknya ganti,..trus apa lagi ya?? \xf0\x9f\x98\x82'",oke point intelligence quotient sekolam mengeyel ujung ujungnya kolam pokoknya ganti ya,negative
1112,PemikiranDuaArahRiskanDiHantamMasalahKaRenaPosisinyaDitengahSebagaiPenyeImbangBiLaTerLaluCondongHabisLahSudah... *KaLauHiTamKatakanHitamBegituPuLaSebaliknya #2019GantiPresiden,pemikiran arah riskan dihantam posisinya ditengah penyeimbang condong habislah hitam hitam 2019 ganti presiden,neutral
1113,RT USER USER September perang PKI Desember perang topi santa gitu aja terus sampai prabowo jd mentri peranan wanita.,september perang partai indonesia desember perang topi santa prabowo menteri peranan wanita,negative
1114,"RT USER: Ya, saya bajingan\nTERIMA KASIH'",ya terima kasih,neutral
1115,"USER wah bisa alay juga lu hyung, gua kira hidup lu nista ternyata alay juga'",hyung gue hidup,negative
1116,"USER USER Gerombolan pks masih bisa booking pecun di hotel travel, fashion hotel dan area sekitar gunung sahari plus mabes dan sekitarnya. Aleksis mah cuma tumbal buat pencitraan sisanya di amankan sama wan abud'",gerombolan partai keadilan sejahtera booking hotel travel fashion hotel area gunung sahari plus markas alexis tumbal pencitraan sisanya amankan wan abud,negative
1117,"TAHUKAH ANDA?\n\ndengan mengajak 4 org kawan, adik beradik, sedara mara atau jiran 1 taman anda membeli PSK berjemaah bersama2, anda akan dapat PSK anda secara percuma shj?\n\npromosi ni tamat\xe2\x80\xa6 URL",tahukah mengajak 4 orang kawan adik beradik sedarah mara jiran 1 taman membeli pekerja komersial berjemaah pekerja komersial shj promosi nih tamat,positive
1118,Panwaslu Sukamara Belum Terima Laporan Pelanggaran Pilkada;,panitia pengawas pemilu sukamara terima laporan pelanggaran pilihan kepala daerah,neutral
1119,Luar Biasa hingga kebijakan Indonesia tdk boleh bertentangan dgn kepentingan Cina,kebijakan indonesia bertentangan kepentingan cina,negative
1120,"USER USER Lp ayahnya kan dah mati bom bunuh diri di sby,kamu jgn *linglung'",lupa ayahnya mati bom bunuh susilo bambang yudhoyono linglung,negative
1121,"DPR MPR segera ambil tindakan, PECAT DENGAN TIDAK TERHORMAT Setya Novanto, kami tidak sudi diwakili manusia hina itu!! ttd. RAKYAT INDONESIA",dewan perwakilan rakyat majelis permusyawaratan rakyat ambil tindakan pecat terhormat setya novanto sudi diwakili manusia tertanda rakyat indonesia,negative
1122,USER Iya huhu dia tuh orangnya emang rada udik ngeliat sesuatu langsuh WAAH WAAH WAAH \xf0\x9f\x98\x82\xf0\x9f\x98\x82 kayanya peru buat kompilasi dia bilang waaah waah',iya huhu orangnya langsung peru kompilasi bilang waaah,negative
1123,"USER USER USER USER USER Lu yg lebih dongo, suporter kok promosiin film wkwkwk sampe ikut berpolitik jga wkwkk #AingPersibAingPolitik'",suporter promosikan film wkwk berpolitik wkwk persib politik,negative
1124,USER Cewek lo maho.',cewek manusia,negative
1125,Apa usir saja budha myanmar disini supaya tidak buat kacau seperti di myanmar?,usir buddha myanmar kacau myanmar,negative
1126,"Kalau sulit menutup kebocoran kapal dimana-mana, ya ganti saja kapal baru.",sulit menutup kebocoran kapal dimana ya ganti kapal,negative
1127,Aku heran deh kenapa yaa kamu gak capek lari-lari di pikiranku ?',heran deh ya cape lari lari pikiranku,negative
1128,"Disebut Norak Dan Kampungan Oleh Nagita Slavina, Ibunda Ayu Ting Ting Doakan Hal Ini! URL",norak nagita slavina ibunda ayu ting ting doakan,negative
1129,RT USER: Kenapa ya orang Indonesia ini disuruh tertib susah banget? Salah satu contohnya adalah tertib untuk tidak naik ke KRL se\xe2\x80\xa6',ya orang indonesia disuruh tertib susah banget salah contohnya tertib kereta listrik,negative
1130,USER Inikan rezim anti Islam yah jd kita kudu ngertilah,inikan anti islam ya mengertilah,negative
1131,kalau USER provokasi lengeserkan Jokowi..gue ikut juga mau lengserkan Jusuf Kalla. ..biar adil biar rame.. JK tamak., provokasi lengserkan jokowi gue lengserkan jusuf kalla biar adil biar ramai tamak,negative
1132,USER tante kunti/g mana 2jtnya? mayan buat lebaran nih\xf0\x9f\x98\xa5',tante jutanya lumayan lebaran nih,positive
1133,UDAH GILA YA YANG BIKIN WEBTOON MATAHARI 1/2 LINGKARAN. ITU YANG NIKAH ARKA?!?!?!? wah sinting gue yang nanges',ya bikin webtoon matahari 1 2 lingkaran nikah arka gue menangis,negative
1134,"RT USER: Tonton,Perhatikan, dan Praktekan Mantap Need stronger bottom like that Anjing parah,, #gayvideo #gayvid #Gvid #gayBandung #g\xe2\x80\xa6'",tonton perhatikan praktikan mantap need kuat bottom like that parah video video gvid bandung,positive
1135,"USER Ini rezim sensasional, tindakan dn peristiwa diluar NALAR kita smakin dominan terjdi, berdoalah smoga tidak ada yg mendeklarasikan Islam Cebong Nusantara .\xf0\x9f\x99\x8f'",sensasional tindakan peristiwa nalar dominan berdoalah semoga mendeklarasikan islam nusantara,positive
1136,"Sebelum Tentara Saudi Tiba di Suriah, ISIS BANCI LARI ke Libya URL URL",tentara saudi suriah isis lari libya,negative
1137,USER Brapa bayaran artis ini ya.. Bisa apa saja.. Menangis tertawa tersakiti dsb.. Memang multitalen\nArtis film komunis',bayaran artis ya menangis tertawa tersakiti multi talenta artis film,negative
1138,"Jika ahok bebas, ULAMA, kemungkinan akan bisa memberi komando revolusi lengserkan jokowi*_ Sumber Dari:_URL",ahok bebas ulama komando revolusi lengserkan jokowi _ sumber _,negative
1139,RT USER: Bolehkah rindu pada yang kau sebut bajingan sekalipun?',rindu,negative
1140,Selamat di atas penderitaan orang lain ? Hih. URL,selamat penderitaan orang ih,negative
1141,Rindu dengan pemimpin-pemimpin seperti mereka ð???,rindu pemimpin pemimpin,negative
1142,â??Fabi ayyi alaâ??i Rabbikuma tukazziban â?? ; Alhamdulilah Nikmat Tuhan Manalagi yg akan kalian Dustakan ð???ð??? #HaturNuhunJokowi #2019TetapJokowi,a fabi ayyi alah i rabikuma tukazziban a alhamdulillah nikmat tuhan dustakan terima kasih jokowi 2019 jokowi,positive
1143,budha membantai muslim rohingya,buddha membantai muslim rohingya,negative
1144,Presiden Trump: AS-Korut Adakan Pembicaraan Langsung Tingkat Tinggi: Presiden Amerika Donald Trumpâ?¦ #Beritadunia #VOA,presiden trump as korea utara adakan pembicaraan langsung tingkat presiden amerika donald trumpa berita dunia voa,neutral
1145,"USER Kebijakan pengembalian barang kepada konsumen yg dilakukan apabila barang tersebut rusak, cacat produksi atau konsumen merasa kurang puas dengan produk tersebut terhitung selama 7 hari dari tanggal pembelian #HauzMiniQuiz #HauzID USER USER",kebijakan pengembalian barang konsumen barang rusak produksi konsumen puas produk terhitung 7 tanggal pembelian haus mini quiz hazid,positive
1146,USER pendusta itu pemimpin agama kristen gitu ya teh?,pendusta pemimpin agama kristen ya teh,negative
1147,USER USER Elo yg goblog.. jdi twet si zonk m omongan si wowo g mengarah kesitu??',twit sih apes omongan sih prabowo mengarah kesitu,negative
1148,USER USER USER USER Kajakajakajakaja Muito bom',haha bom,negative
1149,RT USER USER Kartu kredit gak punya tpi Utangan Negara Banyak,kartu kredit pinjaman negara,neutral
1150,USER Mbappe\nNama : Nita Apriani\nDomisili : Palembang\n#kuismingguanguesehat\nID YouTube : Nita apriani',mbappe nama nita apriani domisili palembang kuis mingguan gue sehat id youtube nita apriani,negative
1151,"aq paham skrg knp pemerintah pusat terkesan spt membiarkan ASU dgn segala progran2 bego progresifnya, taunya yaa biar masyarakat bisa nilai sendiri n pasti program2 itu ancur2 sendiri kok, ya namanya juga ASU, emang bisa apa selain pose elang ngepet.. URL",paham pemerintah pusat terkesan surat pemberitahuan tahunan membiarkan program program progresifnya taunya ya biar masyarakat nilai program program hancur hancur ya namanya pose elang ngepet,negative
1152,Tulisan pagi ini tentang budaya umum yang sebenarnya merugikan kesehatan; ; Semoga berguna,tulisan pagi budaya merugikan kesehatan semoga berguna,negative
1153,USER saat dipimpin USER jg menjadi pendorong kuat bagi UMP layak &amp; program #BPJS . Era penuh perubahan di kalangan buruh baik migran maupun lokal URL #JokowiCakImin #JokowiMajukanEkonomiUmat #JOIN2019 #JOINJombang #,dipimpin  pendorong kuat ump layak amp program badan penyelenggara jaminan sosial era penuh perubahan kalangan buruh migran lokal  jokowi cak imin jokowi majukan ekonomi umat join 2019 join jombang,positive
1154,Iya gegara bupati samosir bilang kalo jokowi presiden pertama yg datang ke samosir. Trus haters rame2 membantah bilang hoaks krna ada poto sukarno di tepi danau toba. Dia ga tau danau toba dikelilingi 7 kabupaten. Dan haters ini semua bukanlah orang sumut,iya gara gara bupati samosir bilang jokowi presiden samosir hater ramai ramai membantah bilang hoaks foto soekarno tepi danau toba tau danau toba dikelilingi 7 kabupaten hater orang sumatra utara,negative
1155,"RT USER: USER gua galak, kasar, omongannya gabisa dijaga. \n\ntapi pacar gua selama ini nerima gua apa adanya, kalau sayang mah mau ka\xe2\x80\xa6'",gue galak kasar omongannya dijaga pacar gue menerima gue sayang kakak,negative
1156,USER Kita tentu tak ingin lagi melihat ada anak-anak yang harus ikut memikul bom demi menuruti delusi orang tuanya',anak anak memikul bom menuruti delusi orang tuanya,negative
1157,"USER USER kaum cebong dungu, saham itu soal pengambilan keputusan mayoritas, bukan dapat keuntungan lebih banyak..\nemangnya siapa yg gaji pekerja, yg punya alatnya,? semua dari freeport..'",kaum saham pengambilan keputusan mayoritas keuntungan memangnya gaji pekerja alatnya freepo,neutral
1158,"USER USER USER USER USER USER USER USER USER USER USER Yg gak pake jilbab komunis? Megawati, sri mulyani, puan maharani lo sebut apa?\n\nMo ngetwit pinter dl ya tong...'",pakai jilbab megawati sri mulyani puan maharani mentwit pintar ya tong,negative
1159,USER USER Gue semua cerita angst suka sekalipun yg sad ending ampe mewek beneran gue bacanya gembel banget gasih wkwk',gue cerita suka sad mewek benaran gue bacanya banget sih wkwk,negative
1160,USER USER USER USER lu bacot',,negative
1161,USER Bodo amat!\nGak tertarik titik',tertarik titik,negative
1162,"USER Lha bung Karno anti asing, indonesia keluar dari PBB dan gerakan non Blok dimulai dari beliau dan mayoritas Jawa memujanya sehingga dijadikannya presiden seumur hidup?! \n\nmentah min ente'",karno anti indonesia pbb gerakan non blok beliau mayoritas jawa memujanya dijadikannya presiden seumur hidup mentah min,negative
1163,"USER USER USER USER Kondisi mencret setelah minum susu kental manis bukan disebabkan oleh kadar gula di dalamnya, kondisi tersebut bisa terjadi karena banyak faktor seperti adanya intoleransi individu terhadap susu sapi.'",kondisi mencret minum susu kental manis disebabkan kadar gula dalamnya kondisi faktor intoleransi individu susu sapi,positive
1164,RT USER Apa pak Jokowi gak punya staf ahli khusus mempertahankan aset nasional? Terlalu.... diktator jomblo lokal,jokowi staf ahli khusus mempertahankan aset nasional diktator jomlo lokal,negative
1165,"USER USER USER USER USER USER USER USER USER USER USER USER USER Hanya orang tolol dan idiot yang merasa bahaya kalau dengar kata \xe2\x80\x9chutang\xe2\x80\x9d, dan dijadikan bahan bully pemerintah. Kritik Presiden? Cukup katakan: Pak, jangan sampai Hutang menyebabkan cashflow negara negatif.'",orang bahaya dengar dijadikan bahan bully pemerintah kritik presiden hutang menyebabkan cashflow negara negatif,negative
1166,"USER ayahku tsundere, dingin, jarang omongan canggung gt sama orang asing, tapi kadang receh, dan ga pelit wkwk aku minta apa aja langsung dibeliin saat itu juga beda sama mama yg harus nabung dulu lah.\n\n[baru sampai di madrid jam 2 siang, ja",ayahku tsundere dingin jarang omongan canggung orang kadang receh pelit wkwk langsung dibelikan beda mama menabung madrid jam 2 siang,negative
1167,Makin masif saja para cina dan antek komunis URL,masif cina,negative
1168,USER Asli bego gak kelar2 nih partai. Kualitas kayak gini disebut partai Allah. Ckckck.. Begonya lagi bani micin masih setia aja mendukung bosnya jadi capres. Dumbception..',asli kelar kelar nih partai kualitas kayak partai allah wkwk begonya micin setia mendukung bosnya calon presiden dumb ception,negative
1169,"USER 100% orang indonesia yg waras sehat jasmani rohani sangat percaya Presiden jokowi muslim berpengaruh didunia, kecuali kader dan anggota gerindra yg tidak percaya #2019TetapJokowi",100 orang indonesia waras sehat jasmani rohani percaya presiden jokowi muslim berpengaruh dunia kecuali kader anggota gerindra percaya 2019 jokowi,negative
1170,"USER miiinn, bener ya ternyata LB aku justru bertambah. Duuhh maaf min aku celeng sendiri. Udh ngerti skr. Hahaha, makasi min. You're the best!""",miiinn ya lembar bertambah aduh maaf min mengerti haha terima kasih min re the best,positive
1171,Benar2 Luar biasa...kami rakyat biasa hanya bisa melihat dan mendengar melakukan sesuai aturan.beberapa hari ini kabar di media terduga korupsi dan belum lagi berita TKA yang memenuhi timeline2 berita tv tapi... URL,rakyat mendengar sesuai aturan kabar media terduga korupsi berita tenaga kerja memenuhi lini berita televisi,negative
1172,"USER Pak USER proses buang Islam tak boleh main paksa, tapi harus dilakukan dengan kesadaran sendiri", proses buang islam main paksa kesadaran,negative
1173,Ahok harus Tamat penjarakan ahok penjarakan ahok,ahok tamat penjarakan ahok penjarakan ahok,negative
1174,Isu pki terus di hembuskan grup grup pendukung prabowo,isu partai indonesia hembuskan grup grup pendukung prabowo,negative
1175,"Pak USER tolonglah. Ajak buzzer"" bapak untuk jadi lebih pinter. Bukan anggar jago menghina orang"" yg ngga suka. Pake lapor"" polisi. Duh!", tolonglah ajak buzzer pintar anggar jago menghina orang suka pakai lapor polisi aduh,negative
1176,"Belum dijelaskan, haji adalah penipuan? Ibrahim tak mungkin dikubur di Kabah, Anda biarkan rakyat ditipu Pak Lukman?",haji penipuan ibrahim dikubur kabah biarkan rakyat ditipu lukman,negative
1177,RT USER Sinting kah km ini bos yg mo bubarkan kpk siapa klo bkn km dan orang-orangmu,kah km bos bubarkan komisi pemberantasan korupsi km orang orangmu,negative
1178,USER USER Sampean sarap ya..kl impor pswat terbg gak pa2.. ini impor garam. Gk kebayang indonesia yg isinya garam semua kok garam jgdiimpor ...dasar otak ente ampu kaki',sampean ya impor pesawat terbagi papa impor garam terbayang indonesia isinya garam garam diimpor dasar otak ampu kaki,negative
1179,Marked as to-read: Catatan Harian Menantu Sinting by Rosi L. Simamora URL,marked as to read catatan harian menantu by rosi l simamora,positive
1180,USER USER Ya..ttp aj waspada..!!Antek komunis itu pintr kamuflase..,ya waspada pintar kamuflase,negative
1181,"Jokowi, terpilih dan dilantik sebagai Presiden RI pada Oktober 2014.",jokowi terpilih dilantik presiden ri oktober 2014,neutral
1182,USER \xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81 sudah seharusnya pejabat pemerintahan dr gubernur sampai tingkat mentri dan DPR selayaknya dipotong gajihnya untk bayar pajak bayar zakat mal sisanya untk fakir miskin dan untk menutupi utang Neg,pejabat pemerintahan gubernur tingkat menteri dewan perwakilan rakyat selayaknya dipotong gajinya bayar pajak bayar zakat mal sisanya fakir miskin menutupi utang tawar,negative
1183,"apapun masalah nya , muara nya tanggung jawab Presiden.. solusi dari solusi terbaik.. Turunkan jokowi...!!",apapun nya muara nya tanggung presiden solusi solusi terbaik turunkan jokowi,negative
1184,"Presiden USER meminta agar Sistem Perizinan Berusaha Terintegrasi Secara Online atau Online Single Submission bisa segera diterapkan baik di Kementerian, di tingkat Provinsi, di tingkat Kabupaten, di tingkat Kota. (Mus) #ElshintaItuAkurat USER",presiden  sistem perizinan berusaha terintegrasi online online single submission diterapkan kementerian tingkat provinsi tingkat kabupaten tingkat kota mus elshinta akurat,neutral
1185,USER USER Sekarang melecehkan gerakan sholat sudah legal mas.\n\nItu ada pejabat kenalkan olahraga aneh. Rejim sebelumnya kemana aja yak',melecehkan gerakan salat legal mas pejabat kenalkan olahraga aneh kemana ya,negative
1186,USER Captain! Saya Tae Ganteng dari Garam Menjawab USER saya sepertinya wkwkw',captain ganteng garam  wkwk,negative
1187,USER Foto memek nya dong',foto nya,negative
1188,"USER Jika ada tokoh agama, Lalu berpolitik praktis untuk jabatan2 publik?, Dengan menggunakan identitas keagamaan?. ?. Itu di lingkungan agama Budha, Ibaratkan ada yang mengaku biksu, Tetapi makan daging iya, Minum miras pun iya, Bahkan berkeluarga",tokoh agama berpolitik praktis jabatan jabatan publik identitas keagamaan lingkungan agama buddha mengaku biksu makan daging iya minum minuman keras iya berkeluarga,negative
1189,USER USER USER Bukan milik kampret bodoh pastinya..ga sampe otaknya kampret',milik pastinya otaknya,negative
1190,USER Ayo dah dukung penuh 1.000%; Yg jelas #2019GantiPresiden,ayo dukung penuh 1 000 2019 ganti presiden,negative
1191,USER USER USER USER ada jg penakar liberal sekuler syiah komunis intoleran ekstrimis',penakar liberal sekuler syiah intoleran ekstremis,negative
1192,"namaku alana, aku memiliki permasalahan yang rumit. aku menyadari bahwa seseorang pasti pernah berada di titik terendah. dan disinilah aku, berada dititik terendah yang kelabu dan bisu. #novelalana #watrpad #shintadwi05'",namaku alana memiliki permasalahan rumit menyadari titik terendah dititik terendah kelabu novel alana wattpad shinta,neutral
1193,"USER Lu punya gue, punya dower, punya rapper, punya onta, lu milik semua tapi cukup gue yang punya hati elu'",gue dower rapper milik gue hati,negative
1194,"Gw juga ngimpi SENTILIN BIJI BABI AHOK, pcetar Pcetar, langsung kejang2 die, ngadu ke Jkw, Jkw: makanye sunat dulu, bru NGOMONG Almaidah.",gue memimpikan sentil biji ahok cetar cetar langsung kejang kejang mengadu jokowi jokowi sunat berbicara al maidah,negative
1195,USER Edan 3 bulan 14 T',3 14 t,neutral
1196,"""Kalau kita tak faham hari ini, kita faham bahawa betapa tingginya ilmu ulama' dulu sampaikan kita pun tak faham.""; ; - TG Ahmad Ridauddin",paham paham betapa tingginya ilmu ulama paham tg ahmad ridauddin,negative
1197,USER Wkwkwkwk mampus luh',wkwk,negative
1198,USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER Si Aseng mau rebut kekayaan Indonesia.. \xf0\x9f\x98\x82\xf0,sih rebut kekayaan indonesia,negative
1199,USER USER USER Bodat KOMUNIS piaraan CINA LOLENG kau',piaraan cina loleng,negative
1200,RT USER Antek PKI dan simpatisannya juga proxy cina komunis pasti sangat membenci TNI dan Panglimanya. Wajar seekali merek,partai indonesia simpatisannya proxy cina membenci tentara nasional indonesia panglimanya wajar merek,negative
1201,"USER USER USER USER USER USER Harus ganti ini rezim biar ulama ulama kita tak turun2 di jalan untuk demo2 suarakan keadilan.\nSalut buat USER, semoga demokrat dan partai islam lainnya ikut merapat.'",ganti biar ulama ulama turun turun jalan demo demo suarakan keadilan salut  semoga demokrat partai islam merapat,positive
1202,USER Anjir kata kata guhe',gue,negative
1203,USER USER USER Klo taplak meja saya berwarna merah putih gk boleh ditaroin asbak rokok dong ya!!?',meja berwarna merah putih ditaruhkan asbak rokok ya,neutral
1204,"USER USER USER Hindu tdk mengenal Hari Persidangan. Hindu percaya pada hukum karma, dimana Tuhan adalah programmer agung yg memastikan semua perbuatan akan mendatangkan hasil yg sepadan. Hasilnya bukan dibakar di neraka, tp dlm bentuk k",hindu mengenal persidangan hindu percaya hukum karma dimana tuhan programmer agung perbuatan hasil sepadan hasilnya dibakar neraka bentuk k,negative
1205,USER Kalau banci thailand mah cegan dong oppa',thailand cegah oppa,negative
1206,USER Promosi bani kampret',promosi,negative
1207,Sulit meyakinkan monyet bahwa apel lebih manis dari pisang.',sulit apel manis pisang,negative
1208,Ini Daftar Lengkap 14 Proyek yang Dicoret Jokowi dari PSN; ;,daftar lengkap 14 proyek dicoret jokowi play station network,neutral
1209,Wah senang nya,senang nya,positive
1210,"USER Iyain aja gua, lama-lama kayak orang idiot ngobrol sama lu hyung.'",iyakan gue kayak orang mengobrol hyung,negative
1211,USER Bukan nya elu dan gerombolan elu malah lebih sering menghina Presiden?? Mestinya lu duluan Yg diproses..',nya gerombolan menghina presiden mestinya diproses,negative
1212,Saya suka video USER,suka video,negative
1213,"(cont.) kelamin wanita, terdengar memenuhi lokasi. Rasanya, setelah berubah wujud dirinya jadi lebih menjiwai perannya.\n\nDalam hati, ia mengutuk para pemburu atau orang-orang asing yang tiba-tiba saja mengejarnya bersama dengan timnya yang bertugas (co",cont kelamin wanita terdengar memenuhi lokasi berubah wujud menjiwai perannya hati mengutuk pemburu orang orang mengejarnya timnya bertugas co,negative
1214,USER Pers seharusnya dapat mengkritisi pernyataan Menteri Agama ini agar bangsa tidak terus dibohongi,pers mengkritisi pernyataan menteri agama bangsa dibohongi,negative
1215,USER KOK GUE LIAT INI SIH KAMPRET WKWK',gue lihat sih wkwk,negative
1216,sesembak depan camp jual zuzu zapi murni.\nmaw itu zuzu zapi or kambink or quda or onta or zebra murni\npasti sy tutup idung pas minumnya he',sesembak camp jual susu sapi murni susu sapi orang kambing orang kuda orang orang zebra murni tutup hidung pas minumnya he,positive
1217,"USER Aku pawanf monyet, aku pawangnya dia monyetnya'",pawang pawangnya monyetnya,negative
1218,USER Bau2 korban cowok yg pinter cakep dan bikin baper dan onta \xf0\x9f\x98\x8c\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',bau bau korban cowok pintar cakap bikin bawa perasaan,negative
1219,kapan kita mulai lengserkan jokowi frop ?itu udh lebih parah frop USER,lengserkan jokowi frop parah frop,negative
1220,USER USER buta ya om',ya om,negative
1221,Nyesel gua upfoll anjir fers nya hilang malah diaudit jd makin turun dr sebelumnya',menyesal gue unfollow fers nya hilang diaudit turun,negative
1222,USER USER USER USER USER BACA MULAI DARI JUDULNYE NYET BIAR GK JADI DOMBA IDIOT!!!',baca judulnya biar domba,negative
1223,Pilkada NTT,pilihan kepala daerah ntt,neutral
1224,Usai Dibebaskan Pengadilan Ust. Alfian Tanjung Langsung Ditangkap Lagi. Dimana keadilan? URL URL,dibebaskan pengadilan ustaz alfian tanjung langsung ditangkap dimana keadilan,neutral
1225,"USER Ka'ab bin al-asyraf itu kan salah satu tokoh Yahudi yg sangat benci terhdap dakwah nabi, bgmana dia bisa hafal al-qur'an""",kakak ab bin al asyraf salah tokoh yahudi benci dakwah nabi hafal al qur an,negative
1226,"USER Masalah segregation ni memang dari zaman dahulu ada. Since zaman nabi muhammad. Memang tak boleh ubah sikap manusia untuk mengamalkan budaya diskriminasi. Malaysia ni actually dah cukup aman. Pergaduhan memang ada, tapi tak seteruk di luar sa",segregasi nih zaman zaman nabi muhammad ubah sikap manusia mengamalkan budaya diskriminasi malaysia nih actually aman pergaduhan seteruk sa,negative
1227,USER USER Fitnah makanan elo nih akun sampah..,fitnah makanan nih akun,negative
1228,"USER Luh anak monyet ,sllu bawa2 agama ,kalo bicara politik harus tau wawasan .wwsn luh dangkal jdi kalo di sosmed luh bcranya sektariannizrm - pemecah belah masalah umat dan beragam suku dan ras agama bicara para kecebong .makar .wong panglima gatot ajah .gak ada kaitanny",anak bawa bawa agama bicara politik tau wawasan wkwk dangkal media sosial bicaranya sektarianisme pemecah belah umat beragam suku ras agama bicara kecebong makar orang panglima gatot kaitannya,negative
1229,USER USER Hehehehe...Muhammadiyah sudah biasa mas. Dulu Kiai Dahlan dituduh kyai Kafir dll :-)',hehe muhammadiyah mas kiai dahlan dituduh kiai,neutral
1230,Banyak yaaa festival budaya bulan iniii... Nabuuunggg ð???ð???,ya festival budaya iniii nabuuunggg,negative
1231,"USER Lalu knp pada waktu itu al qur'an di jadikan alat bukti. Oleh kapolri dlm kasus bom surabaya""",al qur an jadikan alat bukti kepala kepolisian republik indonesia bom surabaya,negative
1232,Semoga Allah segera menghancurleburkan kafir Budha teroris yang telah menzalimi kaum Muslim Rohingya.,semoga allah menghanceburkan buddha teroris menzalimi kaum muslim rohingya,negative
1233,"RT USER: Itu lohhh yg dilakuin oppa oppa koriya, tapi banyak yg bilang oppa koriya banci tapi masa banci ikut militeran 2 tahun :) htt\xe2\x80\xa6'",lo oppa oppa korea bilang oppa korea militeran 2 htt,negative
1234,"USER Karena gak pede juga kayaknya.. buktinya kisah-kisah ""profesor yahudi masuk islam karena takjub setelah meneliti bla bla bla..."" masih suka seliweran di grup WA \xf0\x9f\x98\x82'",percaya kayaknya buktinya kisah kisah profesor yahudi masuk islam takjub meneliti bla bla bla suka seliweran grup wa,negative
1235,"1. Meriah! Acara temu masyarakat Indonesia dgn Gubernur USER di KJRI Istanbul. Khususnya kpd para pelajar, Bapak Gubernur berpesan agar membangun jaringan dahulu sblm kembali ke Indonesia USER",1 meriah acara temu masyarakat indonesia gubernur  konsulat jenderal republik indonesia istanbul pelajar gubernur berpesan membangun jaringan indonesia,neutral
1236,RT USER USER Zaman pak SBY antek-antek PKI tdk merajalela mengganas seperti masa sekarang.,zaman susilo bambang yudhoyono partai indonesia merajalela mengganas,negative
1237,RT USER: CSIS pembohong jangan harp menang 2019 cuih URL,csis pembohong harp menang 2019 cih,negative
1238,Jangankan soal sampah soal ngambil kursi di cafe aja manjaaaaa ga ketulungan',mengambil kursi cafe manjaaaaa ketulungan,neutral
1239,"dulu kan aku selalu tweet ""brb alhamdulillah"" sebab aku ingatkan brb tu sendawa kenyang HAHHAHAHAHA SORI NOOB tapi sekarang tahu lah, be right back (ececeh) #followerswajibtahu'",twit be right back alhamdulillah ingatkan be right back sendawa kenyang haha sori be right back ececeh pengikut wajib,negative
1240,MUNDUR dari sekarang pak Gatot &amp; bersaing sehat dgn Pk Jokowi,mundur gatot amp bersaing sehat jokowi,neutral
1241,"Sebetulnya yg teriak #2019GantiPresiden itu, ; 1. Mau Presiden nya dr Militer?; 2. apa ada opsi lain Capres dr Sipil?; ; Kita pengalaman 2 Mantan Presiden dr Militer yg menghasilkan: ; 1. Krisis moneter 1998 ; 2. Mega proyek yg mangkrak.; ; Jadi tak salah",teriak 2019 ganti presiden 1 presiden nya militer 2 opsi calon presiden sipil pengalaman 2 mantan presiden militer menghasilkan 1 krisis moneter 1998 2 mega proyek mangkrak salah,negative
1242,RT USER: Pe Ka eS lagiiiii...!!! USER gitu lho... Partai Kampret Sejati URL,pe kakak es lagiiiii  lo partai sejati,negative
1243,USER namanya juga cari nafkah bangsad',namanya cari nafkah,negative
1244,USER USER Setuju pakek banget... \n\n~ Sekjen PCN (Partai Cocot Nusantara)',setuju pakai banget sekretariat jenderal pcn partai nusantara,negative
1245,makanan murah ya allah perlis ni paling yahudi penah makan pun 6 hengget sobsssss sukanyaaaa \xf0\x9f\x92\x96\xf0\x9f\x98\x8d',makanan murah ya allah perlis nih yahudi makan 6 ringgit sobsssss sukanyaaaa,negative
